date,datatype,station,attributes,value
"2018-02-19T00:00:00","TAVG","GHCND:ASN00066037","HS","229"
"2018-02-20T00:00:00","TAVG","GHCND:ASN00066037","HS","205"
"2018-02-21T00:00:00","TAVG","GHCND:ASN00066037","HS","218"
"2018-02-22T00:00:00","TAVG","GHCND:ASN00066037","HS","240"
"2018-02-23T00:00:00","TAVG","GHCND:ASN00066037","HS","253"
"2018-02-24T00:00:00","TAVG","GHCND:ASN00066037","HS","269"
"2018-02-25T00:00:00","TAVG","GHCND:ASN00066037","HS","190"
"2018-02-26T00:00:00","TAVG","GHCND:ASN00066037","HS","200"
"2018-02-27T00:00:00","TAVG","GHCND:ASN00066037","HS","208"
"2018-02-28T00:00:00","TAVG","GHCND:ASN00066037","HS","250"
"2018-03-01T00:00:00","TAVG","GHCND:ASN00066037","HS","217"
"2018-03-02T00:00:00","TAVG","GHCND:ASN00066037","HS","224"
"2018-03-03T00:00:00","TAVG","GHCND:ASN00066037","HS","251"
"2018-03-04T00:00:00","TAVG","GHCND:ASN00066037","HS","222"
"2018-03-05T00:00:00","TAVG","GHCND:ASN00066037","HS","209"
"2018-03-06T00:00:00","TAVG","GHCND:ASN00066037","HS","212"
"2018-03-07T00:00:00","TAVG","GHCND:ASN00066037","HS","217"
"2018-03-08T00:00:00","TAVG","GHCND:ASN00066037","HS","220"
"2018-03-09T00:00:00","TAVG","GHCND:ASN00066037","HS","222"
"2018-03-10T00:00:00","TAVG","GHCND:ASN00066037","HS","219"
"2018-03-11T00:00:00","TAVG","GHCND:ASN00066037","HS","230"
"2018-03-12T00:00:00","TAVG","GHCND:ASN00066037","HS","224"
"2018-03-13T00:00:00","TAVG","GHCND:ASN00066037","HS","204"
"2018-03-14T00:00:00","TAVG","GHCND:ASN00066037","HS","242"
"2018-03-15T00:00:00","TAVG","GHCND:ASN00066037","HS","256"
"2018-03-16T00:00:00","TAVG","GHCND:ASN00066037","HS","235"
"2018-03-17T00:00:00","TAVG","GHCND:ASN00066037","HS","260"
"2018-03-18T00:00:00","TAVG","GHCND:ASN00066037","HS","298"
"2018-03-19T00:00:00","TAVG","GHCND:ASN00066037","HS","248"
"2018-03-20T00:00:00","TAVG","GHCND:ASN00066037","HS","223"
"2018-03-21T00:00:00","TAVG","GHCND:ASN00066037","HS","198"
"2018-03-22T00:00:00","TAVG","GHCND:ASN00066037","HS","209"
"2018-03-23T00:00:00","TAVG","GHCND:ASN00066037","HS","212"
"2018-03-24T00:00:00","TAVG","GHCND:ASN00066037","HS","232"
"2018-03-25T00:00:00","TAVG","GHCND:ASN00066037","HS","253"
"2018-03-26T00:00:00","TAVG","GHCND:ASN00066037","HS","200"
"2018-03-27T00:00:00","TAVG","GHCND:ASN00066037","HS","212"
"2018-03-28T00:00:00","TAVG","GHCND:ASN00066037","HS","236"
"2018-03-29T00:00:00","TAVG","GHCND:ASN00066037","HS","243"
"2018-03-30T00:00:00","TAVG","GHCND:ASN00066037","HS","234"
"2018-03-31T00:00:00","TAVG","GHCND:ASN00066037","HS","220"
"2018-04-01T00:00:00","TAVG","GHCND:ASN00066037","HS","247"
"2018-04-02T00:00:00","TAVG","GHCND:ASN00066037","HS","236"
"2018-04-03T00:00:00","TAVG","GHCND:ASN00066037","HS","222"
"2018-04-04T00:00:00","TAVG","GHCND:ASN00066037","HS","222"
"2018-04-05T00:00:00","TAVG","GHCND:ASN00066037","HS","239"
"2018-04-06T00:00:00","TAVG","GHCND:ASN00066037","HS","226"
"2018-04-07T00:00:00","TAVG","GHCND:ASN00066037","HS","242"
"2018-04-08T00:00:00","TAVG","GHCND:ASN00066037","HS","233"
"2018-04-09T00:00:00","TAVG","GHCND:ASN00066037","HS","241"
"2018-04-10T00:00:00","TAVG","GHCND:ASN00066037","HS","222"
"2018-04-11T00:00:00","TAVG","GHCND:ASN00066037","HS","241"
"2018-04-12T00:00:00","TAVG","GHCND:ASN00066037","HS","286"
"2018-04-13T00:00:00","TAVG","GHCND:ASN00066037","HS","286"
"2018-04-14T00:00:00","TAVG","GHCND:ASN00066037","HS","253"
"2018-04-15T00:00:00","TAVG","GHCND:ASN00066037","HS","218"
"2018-04-16T00:00:00","TAVG","GHCND:ASN00066037","HS","232"
"2018-04-17T00:00:00","TAVG","GHCND:ASN00066037","HS","193"
"2018-04-18T00:00:00","TAVG","GHCND:ASN00066037","HS","195"
"2018-04-19T00:00:00","TAVG","GHCND:ASN00066037","HS","212"
"2018-04-20T00:00:00","TAVG","GHCND:ASN00066037","HS","198"
"2018-04-21T00:00:00","TAVG","GHCND:ASN00066037","HS","196"
"2018-04-22T00:00:00","TAVG","GHCND:ASN00066037","HS","192"
"2018-04-23T00:00:00","TAVG","GHCND:ASN00066037","HS","199"
"2018-04-24T00:00:00","TAVG","GHCND:ASN00066037","HS","192"
"2018-04-25T00:00:00","TAVG","GHCND:ASN00066037","HS","199"
"2018-04-26T00:00:00","TAVG","GHCND:ASN00066037","HS","203"
"2018-04-27T00:00:00","TAVG","GHCND:ASN00066037","HS","174"
"2018-04-28T00:00:00","TAVG","GHCND:ASN00066037","HS","171"
"2018-04-29T00:00:00","TAVG","GHCND:ASN00066037","HS","163"
"2018-04-30T00:00:00","TAVG","GHCND:ASN00066037","HS","165"
"2018-05-01T00:00:00","TAVG","GHCND:ASN00066037","HS","186"
"2018-05-02T00:00:00","TAVG","GHCND:ASN00066037","HS","188"
"2018-05-03T00:00:00","TAVG","GHCND:ASN00066037","HS","229"
"2018-05-04T00:00:00","TAVG","GHCND:ASN00066037","HS","190"
"2018-05-05T00:00:00","TAVG","GHCND:ASN00066037","HS","163"
"2018-05-06T00:00:00","TAVG","GHCND:ASN00066037","HS","175"
"2018-05-07T00:00:00","TAVG","GHCND:ASN00066037","HS","194"
"2018-05-08T00:00:00","TAVG","GHCND:ASN00066037","HS","186"
"2018-05-09T00:00:00","TAVG","GHCND:ASN00066037","HS","194"
"2018-05-10T00:00:00","TAVG","GHCND:ASN00066037","HS","167"
"2018-05-11T00:00:00","TAVG","GHCND:ASN00066037","HS","141"
"2018-05-12T00:00:00","TAVG","GHCND:ASN00066037","HS","154"
"2018-05-13T00:00:00","TAVG","GHCND:ASN00066037","HS","154"
"2018-05-14T00:00:00","TAVG","GHCND:ASN00066037","HS","153"
"2018-05-15T00:00:00","TAVG","GHCND:ASN00066037","HS","155"
"2018-05-16T00:00:00","TAVG","GHCND:ASN00066037","HS","142"
"2018-05-17T00:00:00","TAVG","GHCND:ASN00066037","HS","149"
"2018-05-18T00:00:00","TAVG","GHCND:ASN00066037","HS","149"
"2018-05-19T00:00:00","TAVG","GHCND:ASN00066037","HS","146"
"2018-05-20T00:00:00","TAVG","GHCND:ASN00066037","HS","153"
"2018-05-21T00:00:00","TAVG","GHCND:ASN00066037","HS","163"
"2018-05-22T00:00:00","TAVG","GHCND:ASN00066037","HS","182"
"2018-05-23T00:00:00","TAVG","GHCND:ASN00066037","HS","159"
"2018-05-24T00:00:00","TAVG","GHCND:ASN00066037","HS","173"
"2018-05-25T00:00:00","TAVG","GHCND:ASN00066037","HS","144"
"2018-05-26T00:00:00","TAVG","GHCND:ASN00066037","HS","154"
"2018-05-27T00:00:00","TAVG","GHCND:ASN00066037","HS","167"
"2018-05-28T00:00:00","TAVG","GHCND:ASN00066037","HS","164"
"2018-05-29T00:00:00","TAVG","GHCND:ASN00066037","HS","185"
"2018-05-30T00:00:00","TAVG","GHCND:ASN00066037","HS","122"
"2018-05-31T00:00:00","TAVG","GHCND:ASN00066037","HS","141"
"2018-06-01T00:00:00","TAVG","GHCND:ASN00066037","HS","139"
"2018-06-02T00:00:00","TAVG","GHCND:ASN00066037","HS","150"
"2018-06-03T00:00:00","TAVG","GHCND:ASN00066037","HS","146"
"2018-06-04T00:00:00","TAVG","GHCND:ASN00066037","HS","142"
"2018-06-05T00:00:00","TAVG","GHCND:ASN00066037","HS","132"
"2018-06-06T00:00:00","TAVG","GHCND:ASN00066037","HS","131"
"2018-06-07T00:00:00","TAVG","GHCND:ASN00066037","HS","155"
"2018-06-08T00:00:00","TAVG","GHCND:ASN00066037","HS","143"
"2018-06-09T00:00:00","TAVG","GHCND:ASN00066037","HS","136"
"2018-06-10T00:00:00","TAVG","GHCND:ASN00066037","HS","136"
"2018-06-11T00:00:00","TAVG","GHCND:ASN00066037","HS","129"
"2018-06-12T00:00:00","TAVG","GHCND:ASN00066037","HS","140"
"2018-06-13T00:00:00","TAVG","GHCND:ASN00066037","HS","145"
"2018-06-14T00:00:00","TAVG","GHCND:ASN00066037","HS","152"
"2018-06-15T00:00:00","TAVG","GHCND:ASN00066037","HS","149"
"2018-06-16T00:00:00","TAVG","GHCND:ASN00066037","HS","132"
"2018-06-17T00:00:00","TAVG","GHCND:ASN00066037","HS","123"
"2018-06-18T00:00:00","TAVG","GHCND:ASN00066037","HS","127"
"2018-06-19T00:00:00","TAVG","GHCND:ASN00066037","HS","131"
"2018-06-20T00:00:00","TAVG","GHCND:ASN00066037","HS","139"
"2018-06-21T00:00:00","TAVG","GHCND:ASN00066037","HS","126"
"2018-06-22T00:00:00","TAVG","GHCND:ASN00066037","HS","133"
"2018-06-23T00:00:00","TAVG","GHCND:ASN00066037","HS","127"
"2018-06-24T00:00:00","TAVG","GHCND:ASN00066037","HS","118"
"2018-06-25T00:00:00","TAVG","GHCND:ASN00066037","HS","116"
"2018-06-26T00:00:00","TAVG","GHCND:ASN00066037","HS","131"
"2018-06-27T00:00:00","TAVG","GHCND:ASN00066037","HS","141"
"2018-06-28T00:00:00","TAVG","GHCND:ASN00066037","HS","114"
"2018-06-29T00:00:00","TAVG","GHCND:ASN00066037","HS","121"
"2018-06-30T00:00:00","TAVG","GHCND:ASN00066037","HS","134"
"2018-07-01T00:00:00","TAVG","GHCND:ASN00066037","HS","137"
"2018-07-02T00:00:00","TAVG","GHCND:ASN00066037","HS","129"
"2018-07-03T00:00:00","TAVG","GHCND:ASN00066037","HS","133"
"2018-07-04T00:00:00","TAVG","GHCND:ASN00066037","HS","151"
"2018-07-05T00:00:00","TAVG","GHCND:ASN00066037","HS","198"
"2018-07-06T00:00:00","TAVG","GHCND:ASN00066037","HS","167"
"2018-07-07T00:00:00","TAVG","GHCND:ASN00066037","HS","132"
"2018-07-08T00:00:00","TAVG","GHCND:ASN00066037","HS","135"
"2018-07-09T00:00:00","TAVG","GHCND:ASN00066037","HS","118"
"2018-07-10T00:00:00","TAVG","GHCND:ASN00066037","HS","123"
"2018-07-11T00:00:00","TAVG","GHCND:ASN00066037","HS","127"
"2018-07-12T00:00:00","TAVG","GHCND:ASN00066037","HS","123"
"2018-07-13T00:00:00","TAVG","GHCND:ASN00066037","HS","121"
"2018-07-14T00:00:00","TAVG","GHCND:ASN00066037","HS","107"
"2018-07-15T00:00:00","TAVG","GHCND:ASN00066037","HS","109"
"2018-07-16T00:00:00","TAVG","GHCND:ASN00066037","HS","132"
"2018-07-17T00:00:00","TAVG","GHCND:ASN00066037","HS","175"
"2018-07-18T00:00:00","TAVG","GHCND:ASN00066037","HS","134"
"2018-07-19T00:00:00","TAVG","GHCND:ASN00066037","HS","157"
